0.752, 32 15 2 31 11 13 35 6 5 34 33 4 19 45 8 37 50 12 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.751, 32 15 2 31 11 13 35 6 5 34 33 4 19 45 8 37 50 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.749, 32 15 2 31 11 13 35 6 34 33 4 19 45 8 37 50 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.753, 32 15 2 31 11 13 35 6 34 4 19 45 8 37 50 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.754, 32 2 31 11 13 35 6 34 4 19 45 8 37 50 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.749, 32 2 31 11 13 35 6 34 19 45 8 37 50 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.752, 32 2 31 11 13 35 6 34 19 8 37 50 7 1 14 18 20 49 24 26 27 28 29 38 39 10 40 , 
0.753, 32 2 31 11 13 35 6 34 19 8 37 50 7 1 14 18 20 49 24 26 27 29 38 39 10 40 , 
0.753, 32 2 31 11 13 35 6 34 19 8 37 7 1 14 18 20 49 24 26 27 29 38 39 10 40 , 
0.756, 32 31 11 13 35 6 34 19 8 37 7 1 14 18 20 49 24 26 27 29 38 39 10 40 , 
0.755, 32 11 13 35 6 34 19 8 37 7 1 14 18 20 49 24 26 27 29 38 39 10 40 , 
0.757, 32 11 13 35 34 19 8 37 7 1 14 18 20 49 24 26 27 29 38 39 10 40 , 
0.756, 32 11 13 35 34 19 8 37 7 1 14 18 20 49 24 26 29 38 39 10 40 , 
0.753, 32 11 13 35 34 19 8 37 7 1 14 18 20 49 26 29 38 39 10 40 , 
0.749, 32 11 13 35 34 19 8 37 7 1 14 18 20 49 29 38 39 10 40 , 
0.744, 32 11 13 35 19 8 37 7 1 14 18 20 49 29 38 39 10 40 , 
0.744, 11 13 35 19 8 37 7 1 14 18 20 49 29 38 39 10 40 , 
0.750, 11 13 35 19 37 7 1 14 18 20 49 29 38 39 10 40 , 
0.750, 11 13 35 19 37 7 1 14 18 20 49 29 38 39 10 , 
0.753, 11 13 35 19 37 7 1 14 18 49 29 38 39 10 , 
0.747, 11 13 35 19 37 1 14 18 49 29 38 39 10 , 
0.740, 11 13 35 19 37 1 14 18 49 29 38 39 , 
0.737, 11 13 35 19 37 14 18 49 29 38 39 , 
0.743, 13 35 19 37 14 18 49 29 38 39 , 
0.733, 13 35 19 37 18 49 29 38 39 , 
0.729, 13 35 19 37 18 49 38 39 , 
0.732, 13 35 19 37 18 49 38 , 
0.734, 35 19 37 18 49 38 , 
0.730, 35 19 18 49 38 , 
0.722, 35 19 49 38 , 
0.717, 35 49 38 , 
0.719, 35 38 , 
0.698, 35 , 
0.821, empty_set, 
